General Ledger
Business Name: AB Civil Consulting LLC
Tax Filing Name: AB CIVIL CONSULTING LLC
Accounting Basis: Modified Cash
Date Range: 1/1/2025 to 1/31/2026
Report Date: 1/19/2026

Account: Legends Bank Checking 7131,Your balance in Patriot: $16220.81
Date,Type,Description,Amount,Balance
1/1/2025,Customer Invoice Payment,Payment for Residential Excavating LLC (Invoice #1098),$2500.00,$37045.75
1/2/2025,Imported Transaction,Legends Bank - Personal APPLECARD GSBANK PAYMENT,-$52.82,$36992.93
1/2/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$36787.55
1/2/2025,Imported Transaction,Legends Bank - Personal APPLE INC. ACH/CRED MIS000000000000010199 AB Civil Consulting LLC,$101.99,$36889.54
1/2/2025,Customer Invoice Payment,Payment for Bear Excavating (Invoice #1097),$2290.00,$39179.54
1/2/2025,Imported Transaction,Legends Bank - Personal INTUIT 56468883 TRAN FEE,-$12.00,$39167.54
1/2/2025,Imported Transaction,Legends Bank - Personal INTUIT 51026973 TRAN FEE,-$43.06,$39124.48
1/2/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1030),$706.00,$39830.48
1/2/2025,Journal Entry,Transfering from NC to Legends,$1258.00,$41088.48
1/2/2025,Journal Entry,Transfer money from NC to Legends,$2372.00,$43460.48
1/2/2025,Journal Entry,Transfer money from NC to Legends,$1607.00,$45067.48
1/3/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000042925 AB CIVIL CONSULTING LLC,-$429.25,$44638.23
1/3/2025,Imported Transaction,Legends Bank - Personal INTUIT 58690413 TRAN FEE,-$12.00,$44626.23
1/3/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$200.08,$44426.15
1/3/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$385.77,$44040.38
1/3/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$207.26,$43833.12
1/6/2025,Imported Transaction,Legends Bank - Personal THE HARTFORD INSPMTCL,-$581.80,$43251.32
1/6/2025,Imported Transaction,Legends Bank - Personal STRIPE TRANSFER,-$10.95,$43240.37
1/6/2025,Imported Transaction,Legends Bank - Personal INTUIT 64340213 TRAN FEE,-$12.00,$43228.37
1/6/2025,Customer Invoice Payment,Payment #6049 for SITECH Chesapeake LLC (Invoice #1099),$1350.00,$44578.37
1/6/2025,Customer Invoice Payment,Payment #2100 for JLH Excavating (Invoice #1100),$1390.00,$45968.37
1/6/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1101),$1446.00,$47414.37
1/6/2025,Journal Entry,QuickBooks Bill Pay,-$11150.00,$36264.37
1/6/2025,Journal Entry,Transfer money from NC to Legends,$2690.00,$38954.37
1/6/2025,Imported Transaction,Legends Bank - Personal AMEX EPAYMENT ACH PMT,-$4448.73,$34505.64
1/7/2025,Imported Transaction,Legends Bank - Personal INTUIT 68509103 TRAN FEE,-$18.63,$34487.01
1/7/2025,Imported Transaction,Legends Bank - Personal PATRIOT SOFTWARE PAYROLL,-$11780.94,$22706.07
1/7/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1132),$663.00,$23369.07
1/7/2025,Journal Entry,Transfer money from NC to Legends,$2108.00,$25477.07
1/7/2025,Imported Transaction,Legends Bank - Personal INTUIT 18424780 BILL_PAY,-$700.00,$24777.07
1/7/2025,Imported Transaction,Legends Bank - Personal INTUIT 08511450 BILL_PAY,-$700.00,$24077.07
1/8/2025,Imported Transaction,Legends Bank - Personal PATRIOT SOFTWARE PAYROLL,-$4153.68,$19923.39
1/8/2025,Customer Invoice Payment,Payment #E00130 for Kwest Group (Invoice #1102),$2375.00,$22298.39
1/8/2025,Customer Invoice Payment,Payment #E00130 for Kwest Group (Invoice #1103),$1500.00,$23798.39
1/8/2025,Customer Invoice Payment,Payment #E00130 for Kwest Group (Invoice #1104),$2375.00,$26173.39
1/8/2025,Customer Invoice Payment,Payment #13550 for Terry Roberts Site Work (Invoice #1111),$1390.00,$27563.39
1/8/2025,Customer Invoice Payment,Payment #13507 for Terry Roberts Site Work (Invoice #1112),$290.00,$27853.39
1/8/2025,Customer Invoice Payment,Payment #4448 for Gude LLC (Invoice #1113),$940.00,$28793.39
1/8/2025,Customer Invoice Payment,Payment #780295 for Brightview Landscape Development (Invoice #1115),$1780.00,$30573.39
1/8/2025,Customer Invoice Payment,Payment #4449 for Gude LLC (Invoice #1114),$875.00,$31448.39
1/9/2025,Imported Transaction,Legends Bank - Personal INTUIT 74406573 TRAN FEE,-$14.13,$31434.26
1/9/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 2803 1443899,-$3000.00,$28434.26
1/9/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1029),$213.00,$28647.26
1/9/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1028),$5780.00,$34427.26
1/9/2025,Imported Transaction,Legends Bank - Personal INTUIT 60122620 BILL_PAY,-$2690.00,$31737.26
1/10/2025,Imported Transaction,Legends Bank - Personal Verizon Wireless,-$434.53,$31302.73
1/10/2025,Imported Transaction,Legends Bank - Personal PATRIOT SOFTWARE PAYROLL,$3977.46,$35280.19
1/13/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2142 3273698,-$1000.00,$34280.19
1/13/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX803 4794757,-$2500.00,$31780.19
1/13/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$20.00,$31760.19
1/13/2025,Customer Invoice Payment,Payment #782899 for Brightview Landscape Development (Invoice #1116),$1560.00,$33320.19
1/14/2025,Customer Invoice Payment,Payment #3101 for AJ Oleson Construction (Invoice #1000),$625.00,$33945.19
1/14/2025,Imported Transaction,Legends Bank - Personal INTUIT 84717283 TRAN FEE,-$6.25,$33938.94
1/14/2025,Imported Transaction,Legends Bank - Personal INSURANCE OFFICE 62508808D0,-$3927.00,$30011.94
1/14/2025,Imported Transaction,Legends Bank - Personal INTUIT 00595360 BILL_PAY,-$700.00,$29311.94
1/14/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$3564.93,$25747.01
1/14/2025,Imported Transaction,Legends Bank - Personal INTUIT 18631050 BILL_PAY,-$750.00,$24997.01
1/14/2025,Imported Transaction,Legends Bank - Personal INTUIT 07460920 BILL_PAY,-$1900.00,$23097.01
1/14/2025,Imported Transaction,Legends Bank - Personal INTUIT 06395420 BILL_PAY,-$1200.00,$21897.01
1/14/2025,Imported Transaction,Legends Bank - Personal INTUIT 06178100 BILL_PAY,-$1900.00,$19997.01
1/14/2025,Imported Transaction,Legends Bank - Personal Best Buy,-$220.00,$19777.01
1/14/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$100.00,$19677.01
1/14/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1022),$1658.00,$21335.01
1/14/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1023),$1573.00,$22908.01
1/14/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1024),$3188.00,$26096.01
1/14/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1025),$1233.00,$27329.01
1/14/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1026),$1828.00,$29157.01
1/14/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1105),$3978.00,$33135.01
1/14/2025,Imported Transaction,Legends Bank - Personal INTUIT 01176400 BILL_PAY,-$11150.00,$21985.01
1/14/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$682.24,$21302.77
1/15/2025,Imported Transaction,Legends Bank - Personal KYGOV KYEMPLOYMT,-$208.14,$21094.63
1/15/2025,Customer Invoice Payment,Payment #083419 for Central Site Development (Invoice #1117),$4270.00,$25364.63
1/15/2025,Customer Invoice Payment,Payment #1207525 for Pike Construction (Invoice #1118),$770.00,$26134.63
1/15/2025,Customer Invoice Payment,Payment #075666 for JB Coxwell Contracting Inc. (Invoice #1119),$6890.00,$33024.63
1/15/2025,Imported Transaction,Legends Bank - Personal DEPOSIT,$12230.00,$45254.63
1/15/2025,Imported Transaction,Legends Bank - Personal SBA EIDL LOAN PAYMENT 3015519102,-$356.00,$44898.63
1/15/2025,Imported Transaction,Legends Bank - Personal CarMax,-$1050.82,$43847.81
1/16/2025,Imported Transaction,Legends Bank - Personal INTUIT 91054483 TRAN FEE,-$72.00,$43775.81
1/16/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$56.44,$43719.37
1/16/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 7544 4626171,-$2000.00,$41719.37
1/16/2025,Journal Entry,Legends Bank - AMEX EPAYMENT ACH PMT,-$4237.92,$37481.45
1/16/2025,Imported Transaction,Legends Bank - Personal INTUIT 42370170 BILL_PAY,-$1290.00,$36191.45
1/17/2025,Imported Transaction,Legends Bank - Personal SYNCHRONY BANK CC PYMT,-$8.56,$36182.89
1/20/2025,Customer Invoice Payment,Payment for DGPS Constructrion (Invoice #1042),$2490.00,$38672.89
1/21/2025,Imported Transaction,Legends Bank - Personal INTUIT 01448883 TRAN FEE,-$69.72,$38603.17
1/21/2025,Imported Transaction,Legends Bank - Personal STATE OF MONTANA MT TAX PMT,-$55.00,$38548.17
1/21/2025,Imported Transaction,Legends Bank - Personal PATRIOT SOFTWARE PAYROLL,-$12260.11,$26288.06
1/21/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 2803 8761300,-$3000.00,$23288.06
1/21/2025,Customer Invoice Payment,Payment for SITECH Chesapeake LLC (Invoice #1106),$2690.00,$25978.06
1/21/2025,Imported Transaction,Legends Bank - Personal INTUIT 44827450 BILL_PAY,$11150.00,$37128.06
1/21/2025,Journal Entry,QuickBooks Bill Pay,-$11160.00,$25968.06
1/21/2025,Journal Entry,QuickBooks Bill Pay,-$1070.00,$24898.06
1/21/2025,Journal Entry,QuickBooks Bill Pay,-$2690.00,$22208.06
1/22/2025,Imported Transaction,Legends Bank - Personal NORTH CAROLIN DESTAXPYMT,-$94.35,$22113.71
1/22/2025,Imported Transaction,Legends Bank - Personal VA. EMPLOY COMM UITAX PAID,-$139.16,$21974.55
1/22/2025,Imported Transaction,Legends Bank - Personal STATE OF MONTANA UIT PMT TXP 2113212 IIT 58,-$57.99,$21916.56
1/22/2025,Imported Transaction,Legends Bank - Personal KYGOV KY TAXPMNT,-$858.74,$21057.82
1/22/2025,Imported Transaction,Legends Bank - Personal VA DEPT TAXATION TAX PAYMEN,-$239.00,$20818.82
1/22/2025,Imported Transaction,Legends Bank - Personal SC DEPT REVENUE DEBIT,-$1284.44,$19534.38
1/22/2025,Imported Transaction,Legends Bank - Personal NYS DTF WT TAX PAYMNT,-$0.54,$19533.84
1/22/2025,Imported Transaction,Legends Bank - Personal NYS DOL UI TAX PAYMNT,-$25.43,$19508.41
1/22/2025,Imported Transaction,Legends Bank - Personal INTUIT 05054343 TRAN FEE,-$45.10,$19463.31
1/22/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1057),$350.00,$19813.31
1/22/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1018),$3990.00,$23803.31
1/22/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1021),$2287.00,$26090.31
1/22/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1019),$5500.00,$31590.31
1/22/2025,Journal Entry,Transfer money from NC to Legends,$910.00,$32500.31
1/22/2025,Journal Entry,Internet Transfer from CHK 7131 to CHK 7073 9422862,-$2500.00,$30000.31
1/22/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 7073 9422862,-$2500.00,$27500.31
1/22/2025,Void Journal Entry,Internet Transfer from CHK 7131 to CHK 7073 9422862,$2500.00,$30000.31
1/23/2025,Imported Transaction,Legends Bank - Personal OKLAHOMATAXPMTS OK TAX PMT,-$498.00,$29502.31
1/23/2025,Imported Transaction,Legends Bank - Personal DEPOSIT,$3780.00,$33282.31
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$209.54,$33072.77
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$114.38,$32958.39
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.94,$32785.45
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.94,$32612.51
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$102.94,$32509.57
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$183.00,$32326.57
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$328.49,$31998.08
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$227.84,$31770.24
1/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$181.17,$31589.07
1/24/2025,Customer Invoice Payment,Payment for Civil West General Engineering Inc (Invoice #1040),$1980.00,$33569.07
1/24/2025,Imported Transaction,Legends Bank - Personal INTUIT REFUND,$2690.00,$36259.07
1/24/2025,Customer Invoice Payment,Payment #2042 for June Engineering Consultants (Invoice #1120),$300.00,$36559.07
1/24/2025,Customer Invoice Payment,Payment #13597 for Terry Roberts Site Work (Invoice #1071),$450.00,$37009.07
1/24/2025,Journal Entry,Deposit from Sunrock Group of NC,$2500.00,$39509.07
1/27/2025,Imported Transaction,Legends Bank - Personal INTUIT 12956703 TRAN FEE,-$12.00,$39497.07
1/27/2025,Imported Transaction,Legends Bank - Personal INTUIT 16837833 TRAN FEE,-$47.82,$39449.25
1/27/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$621.59,$38827.66
1/27/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 1080416,-$2000.00,$36827.66
1/27/2025,Journal Entry,Transfer money from NC to Legends,$2372.00,$39199.66
1/27/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1014),$1845.00,$41044.66
1/27/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1016),$1182.00,$42226.66
1/27/2025,Journal Entry,Transfer money from NC to Legends,$2108.00,$44334.66
1/28/2025,Customer Invoice Payment,Payment #2212 for Knust Excavating (Invoice #1108),$1125.00,$45459.66
1/28/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$346.51,$45113.15
1/28/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$267.51,$44845.64
1/29/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$37.77,$44807.87
1/30/2025,Customer Invoice Payment,Payment #2000 for Feller Enterprises (Invoice #1121),$2000.00,$46807.87
1/30/2025,Customer Invoice Payment,Payment #9134 for Redman Construction (Invoice #1122),$2290.00,$49097.87
1/30/2025,Imported Transaction,Legends Bank - Personal DEPOSIT,$1500.00,$50597.87
1/31/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000031675 AB CIVIL CONSULTING LLC,-$316.75,$50281.12
1/31/2025,Imported Transaction,Legends Bank - Personal CIGNA 877-484-59 8774845967,-$1081.83,$49199.29
1/31/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX142 8630755,-$300.00,$48899.29
1/31/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$6559.92,$42339.37
1/31/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$1833.77,$40505.60
2/3/2025,Imported Transaction,Legends Bank - Personal INTUIT 30335173 TRAN FEE,-$12.00,$40493.60
2/3/2025,Imported Transaction,Legends Bank - Personal APPLECARD GSBANK PAYMENT,-$52.82,$40440.78
2/3/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2142 2208509,-$500.00,$39940.78
2/3/2025,Customer Invoice Payment,Payment for Firethorn Inc (Invoice #1107),$4470.00,$44410.78
2/4/2025,Imported Transaction,Legends Bank - Personal PATRIOT SOFTWARE PAYROLL,-$12600.24,$31810.54
2/4/2025,Imported Transaction,Legends Bank - Personal STRIPE TRANSFER,-$10.95,$31799.59
2/4/2025,Imported Transaction,Legends Bank - Personal INTUIT ACCTVERIFY,-$0.20,$31799.39
2/4/2025,Imported Transaction,Legends Bank - Personal INTUIT ACCTVERIFY,$0.04,$31799.43
2/4/2025,Imported Transaction,Legends Bank - Personal INTUIT ACCTVERIFY,$0.16,$31799.59
2/4/2025,Imported Transaction,Legends Bank - Personal INTUIT 67550130 BILL_PAY,-$900.00,$30899.59
2/5/2025,Imported Transaction,Legends Bank - Personal MDVIP INC 8778861411,-$525.00,$30374.59
2/5/2025,Imported Transaction,Legends Bank - Personal THE HARTFORD INSPMTCL,-$591.44,$29783.15
2/5/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 9338927,-$2000.00,$27783.15
2/5/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 7544 7646988,-$4000.00,$23783.15
2/5/2025,Journal Entry,Payment for AB Civil PS 1010: 2050 Ashmore job for Sitech Horizon,$2534.00,$26317.15
2/6/2025,Void Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1024),-$1097.00,$25220.15
2/6/2025,Journal Entry,Overpayment on Invoice,$1097.00,$26317.15
2/7/2025,Imported Transaction,Legends Bank - Personal INTUIT 49000893 TRAN FEE,-$29.77,$26287.38
2/7/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$3745.18,$22542.20
2/7/2025,Journal Entry,Transfer Funds: Sitech Horizon in Legends Bank and should be Bank of Oak Ridge,-$3780.00,$18762.20
2/7/2025,Customer Invoice Payment,Payment for Superior Underground Solutions (Invoice #1137),$790.00,$19552.20
2/7/2025,Customer Invoice Payment,Payment for June Engineering Consultants (Invoice #1138),$300.00,$19852.20
